1	1	2	23
2	1	23	22
3	2	3	24
4	2	24	23
5	3	4	25
6	3	25	24
7	4	5	26
8	4	26	25
9	5	6	27
10	5	27	26
11	6	7	28
12	6	28	27
13	7	8	29
14	7	29	28
15	8	9	30
16	8	30	29
17	9	10	31
18	9	31	30
19	10	11	32
20	10	32	31
21	11	12	33
22	11	33	32
23	12	13	34
24	12	34	33
25	13	14	35
26	13	35	34
27	14	15	36
28	14	36	35
29	15	16	37
30	15	37	36
31	16	17	38
32	16	38	37
33	17	18	39
34	17	39	38
35	18	19	40
36	18	40	39
37	19	20	41
38	19	41	40
39	20	21	42
40	20	42	41
41	22	23	44
42	22	44	43
43	23	24	45
44	23	45	44
45	24	25	46
46	24	46	45
47	25	26	47
48	25	47	46
49	26	27	48
50	26	48	47
51	27	28	49
52	27	49	48
53	28	29	50
54	28	50	49
55	29	30	51
56	29	51	50
57	30	31	52
58	30	52	51
59	31	32	53
60	31	53	52
61	32	33	54
62	32	54	53
63	33	34	55
64	33	55	54
65	34	35	56
66	34	56	55
67	35	36	57
68	35	57	56
69	36	37	58
70	36	58	57
71	37	38	59
72	37	59	58
73	38	39	60
74	38	60	59
75	39	40	61
76	39	61	60
77	40	41	62
78	40	62	61
79	41	42	63
80	41	63	62
81	43	44	65
82	43	65	64
83	44	45	66
84	44	66	65
85	45	46	67
86	45	67	66
87	46	47	68
88	46	68	67
89	47	48	69
90	47	69	68
91	48	49	70
92	48	70	69
93	49	50	71
94	49	71	70
95	50	51	72
96	50	72	71
97	51	52	73
98	51	73	72
99	52	53	74
100	52	74	73
101	53	54	75
102	53	75	74
103	54	55	76
104	54	76	75
105	55	56	77
106	55	77	76
107	56	57	78
108	56	78	77
109	57	58	79
110	57	79	78
111	58	59	80
112	58	80	79
113	59	60	81
114	59	81	80
115	60	61	82
116	60	82	81
117	61	62	83
118	61	83	82
119	62	63	84
120	62	84	83
121	64	65	86
122	64	86	85
123	65	66	87
124	65	87	86
125	66	67	88
126	66	88	87
127	67	68	89
128	67	89	88
129	68	69	90
130	68	90	89
131	69	70	91
132	69	91	90
133	70	71	92
134	70	92	91
135	71	72	93
136	71	93	92
137	72	73	94
138	72	94	93
139	73	74	95
140	73	95	94
141	74	75	96
142	74	96	95
143	75	76	97
144	75	97	96
145	76	77	98
146	76	98	97
147	77	78	99
148	77	99	98
149	78	79	100
150	78	100	99
151	79	80	101
152	79	101	100
153	80	81	102
154	80	102	101
155	81	82	103
156	81	103	102
157	82	83	104
158	82	104	103
159	83	84	105
160	83	105	104
161	85	86	107
162	85	107	106
163	86	87	108
164	86	108	107
165	87	88	109
166	87	109	108
167	88	89	110
168	88	110	109
169	89	90	111
170	89	111	110
171	90	91	112
172	90	112	111
173	91	92	113
174	91	113	112
175	92	93	114
176	92	114	113
177	93	94	115
178	93	115	114
179	94	95	116
180	94	116	115
181	95	96	117
182	95	117	116
183	96	97	118
184	96	118	117
185	97	98	119
186	97	119	118
187	98	99	120
188	98	120	119
189	99	100	121
190	99	121	120
191	100	101	122
192	100	122	121
193	101	102	123
194	101	123	122
195	102	103	124
196	102	124	123
197	103	104	125
198	103	125	124
199	104	105	126
200	104	126	125
201	106	107	128
202	106	128	127
203	107	108	129
204	107	129	128
205	108	109	130
206	108	130	129
207	109	110	131
208	109	131	130
209	110	111	132
210	110	132	131
211	111	112	133
212	111	133	132
213	112	113	134
214	112	134	133
215	113	114	135
216	113	135	134
217	114	115	136
218	114	136	135
219	115	116	137
